Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Al
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,92.15
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,98.075
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,90.78
0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26,0.0,91.57
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,0.0,95.45
1.35,0.5,0.95,0.85,1.1,0.4,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,94.4
0.6,0.0,0.28,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.92
1.0,0.25,0.1,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05
0.0,0.0,1.6,0.0,2.5,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3
0.65,0.0,0.9,0.0,0.38,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.02
0.8,0.25,0.85,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6
1.25,0.25,0.2,0.1,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.775
0.0,0.0,6.45,0.29,0.65,0.0,0.0,0.0,0.09,0.14,0.0,0.0,0.0,0.0,0.46,91.87
0.9,0.5,0.35,0.2,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.425
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,87.7013
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,92.05
0.7,0.5,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.1,0.0,0.0,0.0,92.4
0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25,0.0,87.61
1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,96.8
0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25,0.0,87.61
0.0,0.0,0.17,0.0,2.58,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,89.83
