Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS-real,UTS-pred,error
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,120,48,621.3,603.80,2.82%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,460,447.02,2.82%
1,0.5,0.1,0.6,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0,0,96.8,505,25,0,248,255.05,2.84%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,4,449,436.21,2.85%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,24,463,476.29,2.87%
0,0,4.12,0,0.37,0,0.41,0,0,0.11,1.05,0,0,0,0,0,0,93.94,500,25,0,489,474.87,2.89%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,130,24,527.8,543.21,2.92%
0.04,0.3,4.65,0.9,1.65,0,0.01,0,0,0,0,0,0,0,0,0,0,92.45,490,120,18,491,505.35,2.92%
0,0,0,0,0,0,0,0,0,0.17,2.5,0,0,0,0,0,0,97.33,510,150,16,474,460.14,2.92%
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,545,529.00,2.94%
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,6,473,459.03,2.95%
0,0,1,0,0,0,0,0,0,0.17,2.5,0,0,0,0,0,0,96.33,510,150,24,563.8,546.95,2.99%
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,24,667,646.85,3.02%
0.9,0.7,4.35,0.7,0.6,0,0.3,0,0.15,0,0,0.1,0,0,0,0,0,92.2,502,155,9.5,430,416.96,3.03%
0.05,0.05,0.98,0.32,1.45,0,2.88,0,0,0.11,1.81,0,0,0,0,0,0,92.35,525,160,40,458,471.96,3.05%
0.4,0.7,5.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0.4,0.4,92.3,525,160,14,380,367.96,3.17%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,4,441,426.95,3.19%
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,12,472,487.05,3.19%
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,120,32,650,629.27,3.19%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,28,599.8,580.40,3.23%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,25,0,420,433.62,3.24%
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0,0,0,0,0,0,0,0,0,0,97.88,530,100,48,287.7,297.10,3.27%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,20,594.4,574.93,3.28%
0.25,0.35,1.55,0.2,2.45,0.16,7.7,0,0.1,0,0,0,0,0,0,0,0,87.24,480,177,9,487,502.98,3.28%
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,12,543.9,526.03,3.29%
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,100,10,528,510.63,3.29%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,36,602,582.02,3.32%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,24,584.7,604.24,3.34%
0.16,0.11,2.42,0.1,2.07,0,5.87,0,0.05,0.1,0,0,0,0,0,0,0,89.12,473,120,24,579,559.64,3.34%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,32,527,509.24,3.37%
0.4,0.5,2,0.3,2.75,0.23,6.8,0,0.2,0,0,0,0,0,0,0,0,86.82,468,121,24,605,584.50,3.39%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,165,24,440,425.09,3.39%
0.05,0.06,1.39,0,2.6,0.11,6.97,0,0.03,0,0,0,0.002,0,0,0,0,88.788,488,121,24,624.7,603.51,3.39%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,88,604.7,584.07,3.41%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,160,90,502,484.74,3.44%
0.03,0.08,1.18,0.51,2.41,0.1,6.57,0,0.05,0.16,0,0,0.001,0,0,0,0,88.909,488,121,24,644,621.71,3.46%
0.6,0.4,0.3,0.12,1.01,0.2,0.18,0,0,0,0,0,0,0,0,0,0,97.19,500,190,4,292,302.13,3.47%
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,2,457.8,441.78,3.50%
0,0,1,0,0,0,0,0,0,0.17,2.5,0,0,0,0,0,0,96.33,510,150,16,563,543.27,3.50%
0,0,1.6,0,2.5,0.25,5.6,0,0,0,0,0,0,0,0,0,0,90.05,460,25,0,570,550.01,3.51%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,48,448.5,464.32,3.53%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,24,514,495.87,3.53%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,72,529,509.93,3.61%
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,185,2,459,442.45,3.61%
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,16,482.2,464.59,3.65%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,64,604.4,582.24,3.67%
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,16,566.5,545.68,3.68%
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,20,410.7,425.89,3.70%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.25,548,527.69,3.71%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,1,475,457.27,3.73%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,1,475,457.27,3.73%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,0.25,559.1,538.22,3.73%
0,0,2.24,0,1.93,0,7.81,0,0,0.16,0,0,0,0.25,0,0,0,87.61,470,150,30,628,604.12,3.80%
0.05,0.07,1.22,0,2.56,0,6.87,0,0.04,0.08,0,0,0.002,0,0,0,0,89.108,488,121,24,626,602.17,3.81%
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.825,545,160,18,380,394.47,3.81%
0,0,0.17,0,2.58,0,6.94,0,0,0,0,0,0,0.48,0,0,0,89.83,470,25,0,445,428.05,3.81%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,185,48,517,497.30,3.81%
0,0,2.6,0.25,0.45,0,0,0,0,0,0,0,0,0,0,0,0,96.7,500,170,10,340,327.01,3.82%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,72,474.2,492.32,3.82%
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,120,431,447.53,3.83%
0.04,0.07,1.19,0,2.42,0.04,6.9,0,0.04,0.08,0,0,0.002,0,0,0,0,89.218,488,121,24,625.4,601.06,3.89%
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0.05,0,0,0,0,0,0,0,88.62,490,177,9,503,483.34,3.91%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,14,588.8,565.61,3.94%
1,0.25,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.45,505,170,6,296,307.70,3.95%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,150,1,500,480.22,3.96%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,150,1,500,480.22,3.96%
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0,0,0,0,0,0,0,0,0,0,97.102,500,200,18,316,303.49,3.96%
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,165,60,493,512.55,3.97%
0.49,0.24,0.31,0.01,1.01,0.055,0.05,0.01,0,0,0,0.06,0,0,0,0,0,97.765,530,25,0,257,267.24,3.98%
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,25,0,532,510.54,4.03%
0.43,0.31,0.31,0.05,0.94,0.13,0.2,0,0.03,0,0,0,0,0,0,0,0,97.6,520,165,20,323,336.12,4.06%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,8,515.8,494.75,4.08%
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.825,545,160,18,379,394.47,4.08%
0.05,0.15,5.8,0.28,0.22,0,0,0,0.05,0.2,0,0,0,0,0,0,0,93.25,530,165,15,485,465.20,4.08%
0.55,0.47,0.28,0,0.98,0.19,0.19,0,0,0,0,0,0,0,0,0,0,97.34,490,180,6,360,374.84,4.12%
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,50,393.7,410.04,4.15%
0.14,0,3.6,0.52,2.3,0,0,0,0,0,1.6,0,0,0,0,0,0,91.84,497,187,16,345,359.39,4.17%
0.16,0.28,4.52,0.58,1.62,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,92.44,495,160,3,411,428.18,4.18%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,130,1000,505,483.74,4.21%
0.5,0.5,1.7,0.4,2.3,0.175,6,0,0.1,0,0,0,0,0,0,0,0,88.325,470,137.5,16,480,500.30,4.23%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18,450,430.90,4.24%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,8,502,480.66,4.25%
0.8,0,4.4,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,93.6,505,172.5,12.5,485,464.07,4.31%
1.35,0.25,0.95,0.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.5,530,175,8,382,365.42,4.34%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,18,502.9,524.74,4.34%
0,0,2.24,0,1.93,0,7.81,0,0,0.16,0,0,0,0.25,0,0,0,87.61,470,150,8,648,619.81,4.35%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8,255,243.80,4.39%
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0,0,0,0,0,0,0,0,0,0,97.102,500,200,0.25,260,271.43,4.39%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.06,0.175,0,0,0,0,0,0,0,92.445,535,190,26,388,405.25,4.45%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,12,249.6,260.76,4.47%
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,175,8,325,310.27,4.53%
0.04,0.06,1.39,0,2.61,0.12,7.11,0,0.03,0,0,0,0,0,0,0,0,88.64,488,121,24,641.9,612.55,4.57%
0.175,1.1,2.3,0,1.55,0,0.1,0,0.07,0,0,1.05,0,0,0,0,0,93.655,530,200,20,441,420.49,4.65%
0,0,10,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,89.75,510,155,11,285,298.28,4.66%
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,12,408.8,427.85,4.66%
0,0,4.25,0.39,0.37,0,0.61,0,0,0.12,1.01,0,0,0.28,0,0,0,92.97,520,180,24,533,508.12,4.67%
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,25,0,241,252.37,4.72%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,10,545.7,571.48,4.72%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,175,24,505,481.01,4.75%
0,0,4.12,0,0.37,0,0.41,0,0,0.11,1.05,0,0,0,0,0,0,93.94,500,175,32,591,562.89,4.76%
0.026,0.072,1.64,0,1.59,0,7.8,0,0,0.14,0,0,0,0,0,0,0,88.732,470,120,24,574,601.35,4.76%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,8,582.8,554.81,4.80%
0.04,0.1,3.49,1.31,2.15,0.002,0,0,0,0,0,0,0,0,0,0,0,92.908,496,190,8,479,455.92,4.82%
0,0,4.25,0,1.18,0,0.43,0,0,0.11,1.18,0,0,0,0,0,0,92.85,500,25,0,550,523.47,4.82%
0,0,2.03,0,0,0,0,0,0,0.17,2.53,0,0,0,0,0,0,95.27,510,150,24,588,559.56,4.84%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,30,480.4,503.68,4.85%
0.4,0.075,0.2,0.05,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.6,520,175,8,226,214.72,4.99%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,190,26,380,399.35,5.09%
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,120,24,498,472.60,5.10%
0,0,0.19,0,2.55,0,6.98,0,0,0.29,0,0,0,0.27,0,0,0,89.72,470,120,24,643,610.19,5.10%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,48,542,514.22,5.12%
0,0,4.17,0,0.41,0,0,0,0,0.12,1.1,0,0,0,0,0,0,94.2,500,175,32,576,546.25,5.16%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,425,447.02,5.18%
0,0,0,0,0.6,0.4,7,0,0.15,0,0,0,0,0,0,0,0,91.85,590,130,3,290,305.05,5.19%
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,190,36,415,436.80,5.25%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,88,526.7,554.53,5.28%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,64,432.2,455.20,5.32%
0.55,0.47,0.28,0,0.98,0.19,0.19,0,0,0,0,0,0,0,0,0,0,97.34,530,180,6,345,363.56,5.38%
0,0.93,2.23,0,1.21,0,0,0,0,0.3,0,1.09,0,0.3,0,0,0,93.94,510,200,18,392,413.14,5.39%
0.83,0.29,3.91,0.55,0.47,0.01,0.06,0,0.07,0,0,0,0,0,0,0,0,93.81,500,160,8,360,379.47,5.41%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,185,16,526,497.54,5.41%
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,120,48,501.2,528.53,5.45%
0.4,0.42,1.4,0.13,2.4,0.26,5.6,0,0.01,0,0,0,0,0,0,0,0,89.38,465,120,24,526,554.85,5.48%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,555,175,8,220,207.69,5.60%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,25,0,508.2,479.73,5.60%
0.2,0.3,1.55,0.15,2.6,0.2,5.5,0,0,0,0,0,0,0,0,0,0,89.5,490,120,30,572,539.74,5.64%
12.25,1,0.9,0,1.05,0.1,0.25,0,0,0,0,0.9,0,0,0,0,0,83.55,510,170,10,380,358.29,5.71%
0.04,0.05,4.22,0,0.54,0,0,0,0,0.16,1.31,0,0,0,0,0,0,93.68,530,160,88,583,549.49,5.75%
0.05,0.08,1.23,0.3,2.63,0,6.78,0,0.04,0.11,0,0,0.002,0,0,0,0,88.778,488,121,24,643.3,605.67,5.85%
0.04,0.08,1.21,0.35,2.35,0.05,6.62,0,0.03,0.06,0,0,0.002,0,0,0,0,89.208,488,121,24,620.5,583.95,5.89%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,0.5,572.4,538.22,5.97%
0.29,0.42,4.2,0.63,1.26,0,0,0,0,0,0,0,0,0,0,0,0,93.2,500,100,25,578,543.32,6.00%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,190,36,370,392.26,6.01%
0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,525,160,14,405,380.24,6.11%
0,0,0,0,0.6,0.4,7,0,0.15,0,0,0,0,0,0,0,0,91.85,590,140,15,330,350.24,6.13%
0.11,0.18,0.33,0.32,1.98,0,5.41,0,0,0.1,0,0,0,0.25,0,0,0,91.32,470,120,36,532,498.92,6.22%
0.01,0.01,4.3,0,0,0,0,0,0,0.14,1.18,0,0,0,0,0,0,94.36,530,160,144,530,497.03,6.22%
1.35,0.25,0.95,0.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.5,530,175,8,390,365.42,6.30%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18,405,430.90,6.40%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18,405,430.90,6.40%
0.8,0.456,0.321,0.212,0.91,0.021,0.178,0,0,0,0,0,0,0,0,0,0,97.102,500,200,1.5,290,271.43,6.40%
0.1,0.2,4.2,0.91,1.4,0,0.03,0,0,0,0,0,0,0,0,0,0,93.16,520,25,300,510,477.28,6.42%
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0,0,0,0,0,0,0,0,0,0,97.88,530,25,0,269.8,252.48,6.42%
0.5,0.35,4,0.7,0.6,0.1,0.25,0,0.125,0.125,0,0,0,0,0,0,0,93.25,500,25,0,427,454.51,6.44%
1.17,0.184,1.11,0,1.62,0.151,0,0,0.029,0,0,0,0,0,0,0,0,95.736,550,170,24,395,420.47,6.45%
0.8,0,4.4,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,500,160,18,425,452.45,6.46%
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,497,290,1,350,372.65,6.47%
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,495,25,720,460,489.84,6.49%
0,0,1.22,0,0.61,0,0,0,0,0.08,2.49,0,0,0,0,0,0,95.6,525,190,16,425,452.61,6.50%
0.03,0.08,1.17,0,2.38,0.05,6.51,0,0.06,0.13,0,0,0.002,0,0,0,0,89.588,488,121,24,628.8,587.86,6.51%
0.9,1,4,0.2,1.5,1,0.25,0,0,0,0,2,0,0,0,0,0,89.15,510,240,6,330,351.51,6.52%
0.04,0.08,1.15,0.31,2.41,0.05,6.85,0,0.03,0.13,0,0,0.001,0,0,0,0,88.949,488,121,24,642.6,600.70,6.52%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,2,474,443.06,6.53%
0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,97.7,538,200,0.25,215,200.90,6.56%
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,120,12,463,432.41,6.61%
0.6,0,0.28,0,1,0.09,0,0,0,0,0,0,0,0,0,0.55,0.55,96.93,540,170,12,400,373.52,6.62%
0.4,0.075,0.2,0.05,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.6,520,175,8,230,214.72,6.64%
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,160,18,310,330.80,6.71%
0.8,0,4.4,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,500,160,18,485,452.45,6.71%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,260,0.5,454,423.52,6.71%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,5,588.9,549.30,6.72%
0,0,2.24,0,1.93,0,7.81,0,0,0.16,0,0,0,0.25,0,0,0,87.61,470,120,24,679,633.29,6.73%
0,0,1.1,0,0.61,0,2.08,0,0,0.12,2.38,0,0,0,0,0,0,93.71,525,25,0,342,365.13,6.76%
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18,315,336.32,6.77%
0.2,0.35,1.67,0.3,2.22,0,5.95,0,0,0,0,0,0,0,0,0,0,89.31,500,120,12,468,500.23,6.89%
0.12,0.15,2.3,0.1,2.25,0.04,6.2,0,0.06,0.115,0,0,0,0,0,0,0,88.665,475,177,9,474,506.91,6.94%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,1,567.4,527.69,7.00%
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,190,10,542,504.00,7.01%
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,25,0,389.8,417.22,7.03%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,9,440,471.15,7.08%
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18,345,369.57,7.12%
0.5,0,4,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,94.2,500,160,18,425,455.94,7.28%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,205,3,480,444.94,7.30%
0.12,0.15,2.3,0.1,2.25,0.04,6.2,0,0.06,0.115,0,0,0,0,0,0,0,88.665,475,177,7,473,507.63,7.32%
12.25,1,0.9,0,1.05,0.1,0.25,0,0,0,0,0.9,0,0,0,0,0,83.55,510,175,10,380,351.36,7.54%
0,0,1.6,0,0.95,0,0,0,0,0.08,1.7,0,0,0,0,0,0,95.67,530,150,24,415,446.42,7.57%
0.51,0.53,4.23,0.65,1.69,0,0,0,0,0,0,0,0,0,0,0,0,92.39,495,190,12,400,430.29,7.57%
0.51,0.49,3.95,0.96,1.65,0,0,0,0,0,2,0,0,0,0,0,0,90.44,495,190,12,380,408.80,7.58%
0.02,0.06,1.55,0,2.3,0,6.3,0,0,0.14,0,0,0,0,0,0,0,89.63,465,120,24,566,608.99,7.60%
0.35,1.2,2.2,0.2,1.6,0,0.3,0,0.06,0,0,1.2,0,0,0,0,0,92.89,530,185,13,375,403.76,7.67%
0.49,0.24,0.31,0.01,1.01,0.055,0.05,0.01,0,0,0,0.06,0,0,0,0,0,97.765,530,200,0.3,305,281.58,7.68%
0.4,0.175,0.1,0.1,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.55,520,175,8,232,213.99,7.76%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,185,2,503,463.95,7.76%
0,0,4.25,0,1.18,0,0.43,0,0,0.11,1.18,0,0,0,0,0,0,92.85,500,175,32,660,608.59,7.79%
0.6,0,0.2,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,97.95,525,180,7.5,310,285.81,7.80%
0.3,0.4,0.1,0.25,2.8,0.2,4,0,0.1,0,0,0,0,0,0,0,0,91.85,480,120,22,450,414.72,7.84%
0,0,1.5,0,2.65,0.21,5.7,0,0,0,0,0,0,0,0,0,0,89.94,470,120,24,554,597.75,7.90%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,8,285.6,262.93,7.94%
1.21,0.179,1.09,0,1.57,0.178,0,0.158,0.028,0,0,0,0,0,0,0,0,95.587,550,170,24,390,421.43,8.06%
0.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,98.9,510,170,7,220,202.06,8.16%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,3,574.7,527.69,8.18%
0.9,1,4,0.2,1.5,0.1,0.25,0,0,0,0,2,0,0,0,0,0,90.05,510,240,6,331,358.66,8.36%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,175,18,425,389.40,8.38%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,175,18,425,389.40,8.38%
0.11,0.18,0.33,0.32,1.98,0,5.41,0,0,0.1,0,0,0,0.25,0,0,0,91.32,470,120,24,540,494.42,8.44%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,170,10,431,467.55,8.48%
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18,310,336.32,8.49%
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18,310,336.32,8.49%
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18,310,336.32,8.49%
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18,310,336.32,8.49%
0.04,0.05,4.01,0,0,0,0,0,0,0.16,1.24,0,0,0,0,0,0,94.5,530,25,0,354,384.08,8.50%
0.6,0.7,0.275,0.15,1,0.09,0.25,0,0.15,0,0,0,0,0,0,0.55,0.55,95.685,540,170,12,400,365.41,8.65%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,5,619.2,564.34,8.86%
