Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.01,0.05,2.56,0.02,2.59,0.19,7.65,0.13,0.01,0.12,0.00,0.78,0.00,0.29,0.56,0.21,0.27,84.56,460,107,28.1,690.97
0.00,0.02,2.55,0.01,2.59,0.19,7.30,0.12,0.01,0.18,0.00,0.70,0.00,0.23,0.55,0.23,0.28,85.03,466,114,25.8,690.89
0.01,0.05,1.82,0.02,2.76,0.13,8.60,0.11,0.19,0.17,0.00,0.66,0.00,0.25,0.59,0.21,0.18,84.27,464,107,27.3,690.79
0.01,0.04,2.21,0.02,2.76,0.21,8.60,0.10,0.01,0.16,0.00,0.69,0.00,0.19,0.59,0.23,0.27,83.89,462,107,27.3,690.55
0.01,0.24,2.53,0.00,2.59,0.19,7.31,0.14,0.00,0.17,0.00,0.83,0.00,0.23,0.53,0.20,0.20,84.84,472,107,28.6,690.41
0.01,0.05,2.43,0.09,2.68,0.16,7.09,0.13,0.10,0.16,0.00,0.45,0.00,0.23,0.62,0.19,0.22,85.39,440,113,26.1,690.18
0.01,0.04,2.83,0.02,2.67,0.19,7.55,0.12,0.00,0.15,0.00,0.73,0.00,0.22,0.56,0.21,0.26,84.43,471,107,25.5,689.85
0.01,0.01,3.39,0.00,2.51,0.19,6.66,0.10,0.40,0.18,0.00,0.55,0.00,0.21,0.54,0.21,0.26,84.79,462,107,28.6,689.37
0.01,0.04,2.58,0.00,2.69,0.19,7.15,0.12,0.12,0.16,0.00,0.38,0.00,0.22,0.55,0.20,0.27,85.33,450,114,23.9,689.29
0.01,0.04,2.54,0.12,2.55,0.20,7.44,0.12,0.03,0.13,0.00,0.43,0.00,0.22,0.56,0.21,0.23,85.16,465,105,28.1,689.27
0.01,0.05,2.54,0.02,2.59,0.19,7.44,0.12,0.15,0.17,0.00,0.64,0.00,0.23,0.54,0.21,0.28,84.83,425,147,27.3,689.24
0.01,0.04,2.64,0.02,2.59,0.21,7.57,0.13,0.01,0.17,0.00,0.76,0.00,0.22,0.56,0.40,0.34,84.33,426,107,29.0,689.18
0.01,0.25,2.63,0.02,2.59,0.19,7.56,0.12,0.01,0.17,0.00,0.75,0.00,0.22,0.56,0.40,0.32,84.18,462,107,27.0,688.76
0.01,0.04,2.46,0.06,2.60,0.19,7.35,0.14,0.21,0.13,0.00,0.29,0.00,0.23,0.54,0.20,0.25,85.31,466,127,28.4,688.56
0.00,0.04,2.31,0.02,2.66,0.19,7.52,0.13,0.00,0.17,0.00,0.64,0.00,0.28,0.50,0.21,0.30,85.01,443,129,34.6,688.42
0.01,0.05,3.24,0.00,2.60,0.18,7.31,0.14,0.29,0.24,0.00,0.54,0.00,0.29,0.48,0.23,0.26,84.13,462,107,22.4,688.29
0.01,0.10,3.38,0.02,2.60,0.20,7.61,0.12,0.02,0.17,0.00,0.76,0.00,0.22,0.65,0.33,0.28,83.55,456,107,25.9,687.70
0.00,0.04,2.50,0.01,2.57,0.18,7.24,0.14,0.11,0.19,0.00,0.65,0.00,0.22,0.47,0.22,0.25,85.21,462,107,27.5,687.38
0.01,0.05,2.54,0.00,2.60,0.18,7.40,0.13,0.01,0.20,0.00,0.55,0.00,0.23,0.53,0.25,0.22,85.11,465,108,38.0,687.15
0.01,0.15,2.52,0.01,2.59,0.19,7.42,0.12,0.02,0.17,0.00,0.61,0.00,0.18,0.56,0.29,0.28,84.89,450,118,30.5,686.95
0.01,0.16,1.95,0.02,2.59,0.19,7.89,0.13,0.05,0.17,0.00,0.62,0.00,0.20,0.52,0.20,0.28,85.02,468,107,28.7,686.90
0.00,0.06,2.28,0.01,2.64,0.19,7.26,0.14,0.05,0.15,0.00,0.54,0.00,0.23,0.52,0.18,0.20,85.56,452,110,25.6,686.77
0.00,0.05,2.56,0.00,2.61,0.24,7.64,0.11,0.01,0.17,0.00,0.74,0.00,0.16,0.41,0.19,0.27,84.84,460,107,28.2,686.72
0.01,0.05,2.44,0.03,2.60,0.19,8.60,0.13,0.00,0.17,0.00,0.62,0.00,0.22,0.56,0.20,0.28,83.90,450,107,17.0,686.64
0.01,0.02,2.90,0.02,2.14,0.19,7.50,0.12,0.01,0.19,0.00,0.76,0.00,0.22,0.60,0.22,0.33,84.78,467,107,25.7,686.42
