Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred,Target_UTS,AbsError
0.000000,0.000000,6.858224,0.000000,2.697341,0.000000,6.091887,0.000000,0.041283,0.101629,0.000000,0.000000,0.000000,0.168827,0.000000,0.000000,0.000000,84.040809,429.536371,117.129226,5.948097,602.188660,600.000000,2.188660
0.000000,0.000000,6.732797,0.000000,2.588178,0.000000,5.953854,0.000000,0.047549,0.113536,0.000000,0.000000,0.000000,0.171887,0.000000,0.000000,0.000000,84.392200,425.728278,120.937542,9.056088,602.236938,600.000000,2.236938
0.000000,0.000000,6.736373,0.000000,2.592752,0.000000,5.800723,0.000000,0.049906,0.113395,0.000000,0.000000,0.000000,0.165490,0.000000,0.000000,0.000000,84.541360,431.303918,120.890681,10.620434,602.256348,600.000000,2.256348
0.000000,0.000000,6.645077,0.000000,2.710850,0.000000,6.023542,0.000000,0.041161,0.110134,0.000000,0.000000,0.000000,0.158055,0.000000,0.000000,0.000000,84.311181,433.730179,113.050888,11.728101,602.294739,600.000000,2.294739
0.000000,0.000000,6.802201,0.000000,2.597005,0.000000,5.942402,0.000000,0.041592,0.123697,0.000000,0.000000,0.000000,0.142033,0.000000,0.000000,0.000000,84.351070,435.199836,116.759948,8.914760,602.366577,600.000000,2.366577
0.000000,0.000000,6.736558,0.000000,2.997064,0.000000,5.950418,0.000000,0.052968,0.113426,0.000000,0.000000,0.000000,0.160047,0.000000,0.000000,0.000000,83.989519,422.276863,110.791197,11.022777,597.633057,600.000000,2.366943
0.000000,0.000000,6.724326,0.000000,2.650549,0.000000,5.946654,0.000000,0.047946,0.113358,0.000000,0.000000,0.000000,0.156969,0.000000,0.000000,0.000000,84.360199,430.733125,116.955787,8.256414,597.614075,600.000000,2.385925
0.000000,0.000000,6.751913,0.000000,2.478663,0.000000,6.878041,0.000000,0.048808,0.100951,0.000000,0.000000,0.000000,0.191624,0.000000,0.000000,0.000000,83.550000,436.801147,96.237962,9.059032,597.588501,600.000000,2.411499
0.000000,0.000000,6.679507,0.000000,2.600056,0.000000,5.978234,0.000000,0.049511,0.100995,0.000000,0.000000,0.000000,0.187529,0.000000,0.000000,0.000000,84.404168,440.930040,125.871088,9.137598,602.483032,600.000000,2.483032
0.000000,0.000000,7.435604,0.000000,2.811441,0.000000,5.562909,0.000000,0.071860,0.104489,0.000000,0.000000,0.000000,0.198772,0.000000,0.000000,0.000000,83.814924,430.115801,107.595297,7.859896,597.506897,600.000000,2.493103
0.000000,0.000000,6.702636,0.000000,2.811991,0.000000,5.732997,0.000000,0.050246,0.111610,0.000000,0.000000,0.000000,0.172175,0.000000,0.000000,0.000000,84.418345,440.083010,139.405936,5.570792,602.515625,600.000000,2.515625
0.000000,0.000000,7.235064,0.000000,2.572676,0.000000,5.955355,0.000000,0.044979,0.112879,0.000000,0.000000,0.000000,0.216833,0.000000,0.000000,0.000000,83.862213,419.632892,110.612676,9.177899,597.417847,600.000000,2.582153
0.000000,0.000000,6.675821,0.000000,2.571321,0.000000,5.951486,0.000000,0.047518,0.113373,0.000000,0.000000,0.000000,0.165867,0.000000,0.000000,0.000000,84.474613,415.760720,117.333015,9.818741,597.417847,600.000000,2.582153
0.000000,0.000000,6.747488,0.000000,2.548284,0.000000,5.993156,0.000000,0.047044,0.113599,0.000000,0.000000,0.000000,0.158886,0.000000,0.000000,0.000000,84.391543,430.017832,126.240670,7.873890,602.832153,600.000000,2.832153
0.000000,0.000000,6.757415,0.000000,2.625689,0.000000,5.948311,0.000000,0.048868,0.116030,0.000000,0.000000,0.000000,0.170992,0.000000,0.000000,0.000000,84.332695,426.123971,117.379377,10.557227,597.157349,600.000000,2.842651
0.000000,0.000000,6.713046,0.000000,2.781618,0.000000,5.976002,0.000000,0.048227,0.111986,0.000000,0.000000,0.000000,0.171972,0.000000,0.000000,0.000000,84.197149,410.146392,111.096913,8.958059,597.101013,600.000000,2.898987
0.000000,0.000000,6.585084,0.000000,2.740300,0.000000,5.941506,0.000000,0.046825,0.115484,0.000000,0.000000,0.000000,0.176889,0.000000,0.000000,0.000000,84.393912,426.674171,112.761146,9.061536,597.098328,600.000000,2.901672
0.000000,0.000000,6.746404,0.000000,2.788128,0.000000,5.946749,0.000000,0.041389,0.116471,0.000000,0.000000,0.000000,0.175846,0.000000,0.000000,0.000000,84.185013,412.223283,116.759310,9.248442,597.098328,600.000000,2.901672
